                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7489,                 2.8419,                 1.8538,                0.01206,                0.28118,                0.00796,                0.00258,                 2.7188,                    inf,                 5.8527,             0.00054244,             0.00054244,             0.00054244
                      2,                 1.9341,                 2.3555,                 2.0161,                 0.0092,                0.16667,                0.00824,                 0.0037,                 2.8292,                    inf,                 5.7411,              0.0010872,              0.0010872,              0.0010872
                      3,                 1.9458,                 2.3524,                 2.0341,                0.00512,                0.17857,                0.00382,                0.00104,                 3.2351,                    inf,                 10.054,               0.001621,               0.001621,               0.001621
                      4,                 1.9738,                 2.4439,                 2.0069,                0.02048,                0.20011,                0.00903,                0.00321,                 2.4956,                    inf,                 3.2611,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.9208,                 2.2724,                 2.0036,                0.04472,                0.20692,                0.03435,                0.01021,                 2.4219,                 36.192,                 3.6312,               0.001601,               0.001601,               0.001601
                      6,                 1.8751,                 2.1984,                 1.9534,                0.14881,                0.14154,                 0.0778,                0.02817,                 2.4177,                 8.3733,                 2.5815,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.8292,                 2.1849,                 1.9375,                0.47075,                0.32143,                0.30786,                0.12492,                 2.0351,                 2.5318,                 2.2217,               0.001568,               0.001568,               0.001568
                      8,                 1.7688,                 1.9897,                 1.8517,                0.78798,                0.27438,                0.27574,                0.11581,                 2.0832,                 2.3023,                 2.1818,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.7637,                  1.991,                 1.8541,                0.36094,                0.42574,                0.36267,                0.14114,                 1.9732,                 2.3569,                 2.0777,               0.001535,               0.001535,               0.001535
                     10,                 1.7371,                 1.9589,                 1.8376,                0.34138,                0.36451,                0.29649,                0.11931,                 1.9218,                 2.3756,                 2.0259,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.7264,                 1.9622,                 1.8323,                0.39374,                0.43476,                0.37121,                0.16989,                 1.7938,                 2.2077,                 1.9928,               0.001502,               0.001502,               0.001502
                     12,                 1.6648,                 1.8501,                 1.7521,                0.42005,                 0.4178,                0.39833,                0.19435,                 1.7989,                 1.9321,                 1.9297,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.6297,                 1.7548,                 1.7574,                0.49793,                0.47336,                0.44443,                 0.1964,                 1.7824,                 2.0352,                  1.951,               0.001469,               0.001469,               0.001469
                     14,                 1.6716,                 1.8201,                 1.7621,                0.51934,                0.46712,                0.44582,                0.20345,                 1.8301,                  1.858,                 1.9044,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.6412,                   1.74,                 1.7222,                0.46968,                0.46769,                0.44104,                 0.2027,                 1.8053,                 1.7188,                 1.8942,               0.001436,               0.001436,               0.001436
                     16,                 1.6284,                 1.7297,                 1.7056,                0.54897,                 0.4229,                0.45127,                0.20962,                 1.7344,                 1.8884,                 1.8158,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.5684,                 1.6177,                 1.6578,                0.67378,                0.48673,                0.51206,                0.25929,                 1.7208,                 1.7014,                 1.8382,              0.0014029,              0.0014029,              0.0014029
